Registro;Versão;Data;Hora;Evento;Info;Descrição;
007652;08.08;22/01/25;23:45:14;PWN Internal Log                ;_A0_03_03_03_03;????;
007653;08.08;22/01/25;23:45:37;PWN Diconnected                 ;_00_00_00_00_03;Automação perdeu o PWN Servidor <<<<<;
007654;08.08;22/01/25;23:45:41;PWN Internal Log                ;_07_00_00_00_03;Manter Vivo: Tempo esgotado;
007655;08.08;22/01/25;23:45:41;PWN Internal Log                ;_82_00_00_08_03;PWN Iniciou uma nova rede  <<<<<<<<<<<;
007656;08.08;23/01/25;00:03:05;PWN Internal Log                ;_A0_03_03_03_03;????;
007657;08.08;23/01/25;00:03:28;PWN Diconnected                 ;_00_00_00_00_03;Automação perdeu o PWN Servidor <<<<<;
007658;08.08;23/01/25;00:03:31;PWN Internal Log                ;_07_00_00_00_03;Manter Vivo: Tempo esgotado;
007659;08.08;23/01/25;00:03:31;PWN Internal Log                ;_82_00_00_08_03;PWN Iniciou uma nova rede  <<<<<<<<<<<;
007660;08.08;23/01/25;00:20:54;PWN Internal Log                ;_A0_03_03_03_03;????;
007661;08.08;23/01/25;00:21:18;PWN Diconnected                 ;_00_00_00_00_03;Automação perdeu o PWN Servidor <<<<<;
007662;08.08;23/01/25;00:21:21;PWN Internal Log                ;_07_00_00_00_03;Manter Vivo: Tempo esgotado;
007663;08.08;23/01/25;00:21:21;PWN Internal Log                ;_82_00_00_08_03;PWN Iniciou uma nova rede  <<<<<<<<<<<;
007664;08.08;23/01/25;00:38:44;PWN Internal Log                ;_A0_03_03_03_03;????;
007665;08.08;23/01/25;00:39:07;PWN Diconnected                 ;_00_00_00_00_03;Automação perdeu o PWN Servidor <<<<<;
007666;08.08;23/01/25;00:39:11;PWN Internal Log                ;_07_00_00_00_03;Manter Vivo: Tempo esgotado;
007667;08.08;23/01/25;00:39:11;PWN Internal Log                ;_82_00_00_08_03;PWN Iniciou uma nova rede  <<<<<<<<<<<;
007668;08.08;23/01/25;00:56:34;PWN Internal Log                ;_A0_03_03_03_03;????;
007669;08.08;23/01/25;00:56:57;PWN Diconnected                 ;_00_00_00_00_03;Automação perdeu o PWN Servidor <<<<<;
007670;08.08;23/01/25;00:57:01;PWN Internal Log                ;_07_00_00_00_03;Manter Vivo: Tempo esgotado;
007671;08.08;23/01/25;00:57:01;PWN Internal Log                ;_82_00_00_08_03;PWN Iniciou uma nova rede  <<<<<<<<<<<;
007672;08.08;23/01/25;01:14:24;PWN Internal Log                ;_A0_03_03_03_03;????;
007673;08.08;23/01/25;01:14:47;PWN Diconnected                 ;_00_00_00_00_03;Automação perdeu o PWN Servidor <<<<<;
007674;08.08;23/01/25;01:14:51;PWN Internal Log                ;_07_00_00_00_03;Manter Vivo: Tempo esgotado;
007675;08.08;23/01/25;01:14:51;PWN Internal Log                ;_82_00_00_08_03;PWN Iniciou uma nova rede  <<<<<<<<<<<;
007676;08.08;23/01/25;01:32:14;PWN Internal Log                ;_A0_03_03_03_03;????;
007677;08.08;23/01/25;01:32:37;PWN Diconnected                 ;_00_00_00_00_03;Automação perdeu o PWN Servidor <<<<<;
007678;08.08;23/01/25;01:32:40;PWN Internal Log                ;_07_00_00_00_03;Manter Vivo: Tempo esgotado;
007679;08.08;23/01/25;01:32:40;PWN Internal Log                ;_82_00_00_08_03;PWN Iniciou uma nova rede  <<<<<<<<<<<;
007680;08.08;23/01/25;01:50:03;PWN Internal Log                ;_A0_03_03_03_03;????;
007681;08.08;23/01/25;01:50:26;PWN Diconnected                 ;_00_00_00_00_03;Automação perdeu o PWN Servidor <<<<<;
007682;08.08;23/01/25;01:50:30;PWN Internal Log                ;_07_00_00_00_03;Manter Vivo: Tempo esgotado;
007683;08.08;23/01/25;01:50:30;PWN Internal Log                ;_82_00_00_08_03;PWN Iniciou uma nova rede  <<<<<<<<<<<;
007684;08.08;23/01/25;02:07:53;PWN Internal Log                ;_A0_03_03_03_03;????;
007685;08.08;23/01/25;02:08:16;PWN Diconnected                 ;_00_00_00_00_03;Automação perdeu o PWN Servidor <<<<<;
007686;08.08;23/01/25;02:08:20;PWN Internal Log                ;_07_00_00_00_03;Manter Vivo: Tempo esgotado;
007687;08.08;23/01/25;02:08:20;PWN Internal Log                ;_82_00_00_08_03;PWN Iniciou uma nova rede  <<<<<<<<<<<;
007688;08.08;23/01/25;02:25:43;PWN Internal Log                ;_A0_03_03_03_03;????;
007689;08.08;23/01/25;02:26:06;PWN Diconnected                 ;_00_00_00_00_03;Automação perdeu o PWN Servidor <<<<<;
007690;08.08;23/01/25;02:26:09;PWN Internal Log                ;_07_00_00_00_03;Manter Vivo: Tempo esgotado;
007691;08.08;23/01/25;02:26:09;PWN Internal Log                ;_82_00_00_08_03;PWN Iniciou uma nova rede  <<<<<<<<<<<;
007692;08.08;23/01/25;02:43:32;PWN Internal Log                ;_A0_03_03_03_03;????;
007693;08.08;23/01/25;02:43:55;PWN Diconnected                 ;_00_00_00_00_03;Automação perdeu o PWN Servidor <<<<<;
007694;08.08;23/01/25;02:43:59;PWN Internal Log                ;_07_00_00_00_03;Manter Vivo: Tempo esgotado;
007695;08.08;23/01/25;02:43:59;PWN Internal Log                ;_82_00_00_08_03;PWN Iniciou uma nova rede  <<<<<<<<<<<;
007696;08.08;23/01/25;03:01:22;PWN Internal Log                ;_A0_03_03_03_03;????;
007697;08.08;23/01/25;03:01:45;PWN Diconnected                 ;_00_00_00_00_03;Automação perdeu o PWN Servidor <<<<<;
007698;08.08;23/01/25;03:01:49;PWN Internal Log                ;_07_00_00_00_03;Manter Vivo: Tempo esgotado;
007699;08.08;23/01/25;03:01:49;PWN Internal Log                ;_82_00_00_08_03;PWN Iniciou uma nova rede  <<<<<<<<<<<;
007700;08.08;23/01/25;03:19:12;PWN Internal Log                ;_A0_03_03_03_03;????;
007701;08.08;23/01/25;03:19:35;PWN Diconnected                 ;_00_00_00_00_03;Automação perdeu o PWN Servidor <<<<<;
007702;08.08;23/01/25;03:19:38;PWN Internal Log                ;_07_00_00_00_03;Manter Vivo: Tempo esgotado;
007703;08.08;23/01/25;03:19:38;PWN Internal Log                ;_82_00_00_08_03;PWN Iniciou uma nova rede  <<<<<<<<<<<;
007704;08.08;23/01/25;03:37:01;PWN Internal Log                ;_A0_03_03_03_03;????;
007705;08.08;23/01/25;03:37:24;PWN Diconnected                 ;_00_00_00_00_03;Automação perdeu o PWN Servidor <<<<<;
007706;08.08;23/01/25;03:37:28;PWN Internal Log                ;_07_00_00_00_03;Manter Vivo: Tempo esgotado;
007707;08.08;23/01/25;03:37:28;PWN Internal Log                ;_82_00_00_08_03;PWN Iniciou uma nova rede  <<<<<<<<<<<;
007708;08.08;23/01/25;03:54:51;PWN Internal Log                ;_A0_03_03_03_03;????;
